director,database frequency,idf
Katherine Brooks,1,8.4468
Kate Barker-Froyland,1,8.4468
Kat Coiro,1,8.4468
Karim Aïnouz,1,8.4468
Kari Skogland,1,8.4468
Karey Kirkpatrick,1,8.4468
Kaige Chen,1,8.4468
K. King,1,8.4468
Jérôme Salle,1,8.4468
Jérôme Deschamps,1,8.4468
Justin Zackham,1,8.4468
Justin Molotnikov,1,8.4468
Justin Kerrigan,1,8.4468
Justin Dillon,1,8.4468
Juraj Jakubisko,1,8.4468
Jun Falkenstein,1,8.4468
Julio DePietro,1,8.4468
Julien Temple,1,8.4468
Julie Davis,1,8.4468
Jugal Hansraj,1,8.4468
Juan Carlos Fresnadillo,1,8.4468
José Luis Valenzuela,1,8.4468
Joshua Tickell,1,8.4468
Joshua Seftel,1,8.4468
Joshua Oppenheimer,1,8.4468
Joshua Michael Stern,1,8.4468
Joshua Marston,1,8.4468
Joshua Logan,1,8.4468
Josh Schwartz,1,8.4468
Josh Boone,1,8.4468
Joseph Sargent,1,8.4468
Joseph Ruben,1,8.4468
Joseph L. Mankiewicz,1,8.4468
Joseph Green,1,8.4468
Joseph Gordon-Levitt,1,8.4468
Joseph Dorman,1,8.4468
Josef Rusnak,1,8.4468
Jorma Taccone,1,8.4468
Jorge R. Gutiérrez,1,8.4468
Jorge Gaggero,1,8.4468
Jorge Blanco,1,8.4468
Jonathan Wacks,1,8.4468
Jonathan Teplitzky,1,8.4468
Jonathan Parker,1,8.4468
Jonathan Newman,1,8.4468
Jonathan Kesselman,1,8.4468
Jonathan Kaplan,1,8.4468
Jonathan Jakubowicz,1,8.4468
Jonathan Hensleigh,1,8.4468
Jonathan English,1,8.4468
Jonathan Dayton,1,8.4468
Jonathan Caouette,1,8.4468
Jonas Elmer,1,8.4468
Jon Wright,1,8.4468
Jon Stewart,1,8.4468
Jon Shear,1,8.4468
Jon Poll,1,8.4468
Jon Kasdan,1,8.4468
Jon Hess,1,8.4468
Johnny Remo,1,8.4468
Johnnie To,1,8.4468
John Sturges,1,8.4468
John Stephenson,1,8.4468
John Stainton,1,8.4468
John Simpson,1,8.4468
John Reinhardt,1,8.4468
John Putch,1,8.4468
John Patrick Shanley,1,8.4468
John Ottman,1,8.4468
John Murlowski,1,8.4468
John Michael McDonagh,1,8.4468
John McNaughton,1,8.4468
John Maybury,1,8.4468
John Maclean,1,8.4468
John Laing,1,8.4468
John Lafia,1,8.4468
John Hoffman,1,8.4468
John Gulager,1,8.4468
John Guillermin,1,8.4468
John Gray,1,8.4468
John Gatins,1,8.4468
John Francis Daley,1,8.4468
John Fortenberry,1,8.4468
John Eng,1,8.4468
John Duigan,1,8.4468
John Crowley,1,8.4468
John Cromwell,1,8.4468
John Cornell,1,8.4468
John Carl Buechler,1,8.4468
John Bonito,1,8.4468
John Badham,1,8.4468
John 'Bud' Cardos,1,8.4468
Joey Lauren Adams,1,8.4468
Joel Gallen,1,8.4468
Joel Edgerton,1,8.4468
Joel Anderson,1,8.4468
Joe Pytka,1,8.4468
Joe Kenemore,1,8.4468
Joe Cross,1,8.4468
Joe Cornish,1,8.4468
Joe Charbanic,1,8.4468
Joe Chappelle,1,8.4468
Joe Camp,1,8.4468
Joe Berlinger,1,8.4468
Jody Hill,1,8.4468
Joby Harold,1,8.4468
Joan Chen,1,8.4468
Joachim Rønning,1,8.4468
Jirí Menzel,1,8.4468
Jim Sonzero,1,8.4468
Jim Mickle,1,8.4468
Jim Jarmusch,1,8.4468
Jim Hanon,1,8.4468
Jim Goddard,1,8.4468
Jim Field Smith,1,8.4468
Jim Fall,1,8.4468
Jim Abrahams,1,8.4468
Jez Butterworth,1,8.4468
Jeta Amata,1,8.4468
Jessy Terrero,1,8.4468
Jessica Bendinger,1,8.4468
Jesse Vaughan,1,8.4468
Jerry Zaks,1,8.4468
Jerry Rees,1,8.4468
Jerry Dugan,1,8.4468
Jerry Belson,1,8.4468
Jerome Robbins,1,8.4468
Jerome Elston Scott,1,8.4468
Jeremy Sims,1,8.4468
Jeremy Leven,1,8.4468
Jeremy Brock,1,8.4468
Jennifer Yuh Nelson,1,8.4468
Jennifer Wynne Farmer,1,8.4468
Jennifer Flackett,1,8.4468
Jennifer Finnigan,1,8.4468
Jeffrey W. Byrd,1,8.4468
Jeff Schaffer,1,8.4468
Jeff Nathanson,1,8.4468
Jeff Lowell,1,8.4468
Jeff Kanew,1,8.4468
Jeff Garlin,1,8.4468
Jeff Franklin,1,8.4468
Jeff Crook,1,8.4468
Jeff Burr,1,8.4468
Jean-Jacques Mantello,1,8.4468
Jean-François Richet,1,8.4468
Je-kyu Kang,1,8.4468
Jay Oliva,1,8.4468
Jay Levey,1,8.4468
Jay Alaimo,1,8.4468
Jason Zada,1,8.4468
Jason Trost,1,8.4468
Jason Stone,1,8.4468
Jason Naumann,1,8.4468
Jason Moore,1,8.4468
Jason Miller,1,8.4468
Jason Eisener,1,8.4468
Jason Connery,1,8.4468
Jason Bateman,1,8.4468
Jason Alexander,1,8.4468
Janusz Kaminski,1,8.4468
Jane Clark,1,8.4468
Jamin Winans,1,8.4468
Jamie Travis,1,8.4468
Jamie Thraves,1,8.4468
James Schamus,1,8.4468
James Ponsoldt,1,8.4468
James O'Brien,1,8.4468
James Nunn,1,8.4468
James Mottern,1,8.4468
James Melkonian,1,8.4468
James Mather,1,8.4468
James Manera,1,8.4468
James Kerwin,1,8.4468
James Isaac,1,8.4468
James Gartner,1,8.4468
James Frawley,1,8.4468
James Fargo,1,8.4468
James Dodson,1,8.4468
James David Pasternak,1,8.4468
James Bridges,1,8.4468
James Bidgood,1,8.4468
Jamel Debbouze,1,8.4468
Jamal Hill,1,8.4468
Jamaa Fanaka,1,8.4468
Jake Scott,1,8.4468
Jake Paltrow,1,8.4468
Jake Goldberger,1,8.4468
Jafar Panahi,1,8.4468
Jacob Aaron Estes,1,8.4468
Jackie Earle Haley,1,8.4468
Jack Sholder,1,8.4468
Jack Heller,1,8.4468
Jack Conway,1,8.4468
JK Youn,1,8.4468
J.S. Cardone,1,8.4468
J Blakeson,1,8.4468
Ivan Engler,1,8.4468
István Szabó,1,8.4468
Isabel Coixet,1,8.4468
Isaac Florentine,1,8.4468
Inna Evlannikova,1,8.4468
Ingmar Bergman,1,8.4468
Igor Kovalyov,1,8.4468
Ice Cube,1,8.4468
Ian Sharp,1,8.4468
Ian Iqbal Rashid,1,8.4468
Ian Fitzgibbon,1,8.4468
Hunter Richards,1,8.4468
Hugh Johnson,1,8.4468
Hue Rhodes,1,8.4468
Huck Botko,1,8.4468
Hsiao-Hsien Hou,1,8.4468
Hoyt Yeatman,1,8.4468
Howard Hughes,1,8.4468
Howard Hawks,1,8.4468
Hong-jin Na,1,8.4468
Hitoshi Matsumoto,1,8.4468
Hironobu Sakaguchi,1,8.4468
Hilary Brougher,1,8.4468
Hideo Nakata,1,8.4468
Hideaki Anno,1,8.4468
Herbert Ross,1,8.4468
Herb Freed,1,8.4468
Henry Koster,1,8.4468
Henry King,1,8.4468
Henry Jaglom,1,8.4468
Henry Hobson,1,8.4468
Henry Hathaway,1,8.4468
Henry Bean,1,8.4468
Henry Alex Rubin,1,8.4468
Heidi Ewing,1,8.4468
Hayley Cloake,1,8.4468
Hart Bochner,1,8.4468
Harry F. Millarde,1,8.4468
Harry Beaumont,1,8.4468
Harold Cronk,1,8.4468
Harmony Korine,1,8.4468
Harmage Singh Kalirai,1,8.4468
Harley Cokeliss,1,8.4468
Hark Tsui,1,8.4468
Harald Reinl,1,8.4468
Hans Petter Moland,1,8.4468
Hans Canosa,1,8.4468
Hank Braxtan,1,8.4468
Ham Tran,1,8.4468
Hal Needham,1,8.4468
Hal Haberman,1,8.4468
H.M. Coakley,1,8.4468
Gérard Krawczyk,1,8.4468
Guy Maddin,1,8.4468
Guillaume Ivernel,1,8.4468
Gregory Widen,1,8.4468
Gregory Poirier,1,8.4468
Gregory Nava,1,8.4468
Gregory Jacobs,1,8.4468
Greg Tiernan,1,8.4468
Greg Marcks,1,8.4468
Greg Coolidge,1,8.4468
Greg Berlanti,1,8.4468
Grant Heslov,1,8.4468
Graham Annable,1,8.4468
Gordon Chan,1,8.4468
Goran Dukic,1,8.4468
Gonzalo López-Gallego,1,8.4468
Gnana Rajasekaran,1,8.4468
Giuseppe Tornatore,1,8.4468
Giuliano Montaldo,1,8.4468
Giovanni Zelko,1,8.4468
Gillian Robespierre,1,8.4468
Gilles Paquet-Brenner,1,8.4468
Gideon Raff,1,8.4468
Gia Coppola,1,8.4468
Gerry Lively,1,8.4468
Gerard Johnstone,1,8.4468
Gerald Potterton,1,8.4468
Georgia Hilton,1,8.4468
George Stevens,1,8.4468
George Ratliff,1,8.4468
George Nolfi,1,8.4468
George Jackson,1,8.4468
George Cukor,1,8.4468
Georg Wilhelm Pabst,1,8.4468
Geoff Murphy,1,8.4468
Gene Quintano,1,8.4468
Gavin Wiesen,1,8.4468
Gary Sinyor,1,8.4468
Gary Shore,1,8.4468
Gary Sherman,1,8.4468
Gary Rogers,1,8.4468
Gary Nelson,1,8.4468
Gary McKendry,1,8.4468
Gary Hardwick,1,8.4468
Gary Halvorson,1,8.4468
Gary David Goldberg,1,8.4468
Gary Chapman,1,8.4468
Garth Jennings,1,8.4468
Gareth Evans,1,8.4468
Gareth Edwards,1,8.4468
Gabriela Tagliavini,1,8.4468
Gabor Csupo,1,8.4468
Gabe Ibáñez,1,8.4468
Frédéric Forestier,1,8.4468
Frédéric Auburtin,1,8.4468
Fritz Lang,1,8.4468
Fred Walton,1,8.4468
Fred Schepisi,1,8.4468
Fred Savage,1,8.4468
Fred Durst,1,8.4468
Fred Dekker,1,8.4468
François Truffaut,1,8.4468
François Girard,1,8.4468
Frank Whaley,1,8.4468
Frank Sebastiano,1,8.4468
Frank Perry,1,8.4468
Frank Nissen,1,8.4468
Frank Lotito,1,8.4468
Frank LaLoggia,1,8.4468
Frank Borzage,1,8.4468
Franco Zeffirelli,1,8.4468
Franck Khalfoun,1,8.4468
Francesca Gregorini,1,8.4468
Forest Whitaker,1,8.4468
Floyd Mutrux,1,8.4468
Floria Sigismondi,1,8.4468
Florent-Emilio Siri,1,8.4468
Finn Taylor,1,8.4468
Fina Torres,1,8.4468
Ferzan Ozpetek,1,8.4468
Feroz Abbas Khan,1,8.4468
Fernando León de Aranoa,1,8.4468
Fedor Bondarchuk,1,8.4468
Fede Alvarez,1,8.4468
Fatih Akin,1,8.4468
Fabián Bielinsky,1,8.4468
Eytan Fox,1,8.4468
Eugène Lourié,1,8.4468
Eugenio Derbez,1,8.4468
Ethan Maniquis,1,8.4468
Etan Cohen,1,8.4468
Errol Morris,1,8.4468
Ernie Barbarash,1,8.4468
Ernest R. Dickerson,1,8.4468
Erik White,1,8.4468
Erik Canuel,1,8.4468
Ericson Core,1,8.4468
Eric Styles,1,8.4468
Eric Schaeffer,1,8.4468
Eric Nicholas,1,8.4468
Eric Mendelsohn,1,8.4468
Eric Leighton,1,8.4468
Eric Lartigau,1,8.4468
Eric England,1,8.4468
Eric Eason,1,8.4468
Eric Bugbee,1,8.4468
Eric Bress,1,8.4468
Eric Blakeney,1,8.4468
Emma-Kate Croghan,1,8.4468
Emily Young,1,8.4468
Emily Dell,1,8.4468
Emilio Estevez,1,8.4468
Emile Ardolino,1,8.4468
Ellory Elkayem,1,8.4468
Eli Craig,1,8.4468
Eldar Rapaport,1,8.4468
Elaine May,1,8.4468
Ekachai Uekrongtham,1,8.4468
Efram Potelle,1,8.4468
Edward Norton,1,8.4468
Edward Hall,1,8.4468
Edward Dmytryk,1,8.4468
Eddie O'Flaherty,1,8.4468
Ed Gass-Donnelly,1,8.4468
Ed Decter,1,8.4468
E.L. Katz,1,8.4468
Dylan Bank,1,8.4468
Dustin Hoffman,1,8.4468
Duncan Tucker,1,8.4468
Duke Johnson,1,8.4468
Duane Journey,1,8.4468
Dror Moreh,1,8.4468
Drew Goddard,1,8.4468
Drew Barrymore,1,8.4468
Drake Doremus,1,8.4468
Douglas Trumbull,1,8.4468
Douglas Cheek,1,8.4468
Doug Lefler,1,8.4468
Doug Block,1,8.4468
Doug Atchison,1,8.4468
Don Taylor,1,8.4468
Don Siegel,1,8.4468
Don Scardino,1,8.4468
Don Mancini,1,8.4468
Don Kempf,1,8.4468
Don Hall,1,8.4468
Dominique Othenin-Girard,1,8.4468
Dominic Burns,1,8.4468
Dito Montiel,1,8.4468
Dinesh D'Souza,1,8.4468
Dick Richards,1,8.4468
Diane Keaton,1,8.4468
Diane English,1,8.4468
Dexter Fletcher,1,8.4468
Dewey Nicks,1,8.4468
Des McAnuff,1,8.4468
Deryck Broom,1,8.4468
Derrick Borte,1,8.4468
Deon Taylor,1,8.4468
Denys Arcand,1,8.4468
Dennis Iliadis,1,8.4468
Dennis Hopper,1,8.4468
Dennis Gansel,1,8.4468
Demian Lichtenstein,1,8.4468
Debra Granik,1,8.4468
Deborah Anderson,1,8.4468
Deb Hagan,1,8.4468
Dean Wright,1,8.4468
Dean Israelite,1,8.4468
David Worth,1,8.4468
David Webb Peoples,1,8.4468
David Soren,1,8.4468
David Sington,1,8.4468
David Silverman,1,8.4468
David S. Ward,1,8.4468
David Robert Mitchell,1,8.4468
David Ray,1,8.4468
David Pastor,1,8.4468
David Palmer,1,8.4468
David Oelhoffen,1,8.4468
David Nutter,1,8.4468
David Nixon,1,8.4468
David Moreau,1,8.4468
David Mirkin,1,8.4468
David LaChapelle,1,8.4468
David Kellogg,1,8.4468
David Jacobson,1,8.4468
David Hunt,1,8.4468
David Hewlett,1,8.4468
David Hayter,1,8.4468
David Gelb,1,8.4468
David G. Evans,1,8.4468
David F. Sandberg,1,8.4468
David E. Talbert,1,8.4468
David Duchovny,1,8.4468
David Cross,1,8.4468
David Carson,1,8.4468
David Caffrey,1,8.4468
David Boyd,1,8.4468
David Atkins,1,8.4468
David Anspaugh,1,8.4468
Dave Payne,1,8.4468
Dave Meyers,1,8.4468
Dave McKean,1,8.4468
Dave Borthwick,1,8.4468
Darren Grant,1,8.4468
Darrell Roodt,1,8.4468
Darnell Martin,1,8.4468
Dario Argento,1,8.4468
Darin Scott,1,8.4468
Dany Boon,1,8.4468
Danny Steinmann,1,8.4468
Danny Provenzano,1,8.4468
Danny Pang,1,8.4468
Daniel Taplitz,1,8.4468
Daniel Stamm,1,8.4468
Daniel Schechter,1,8.4468
Daniel Sackheim,1,8.4468
Daniel Petrie Jr.,1,8.4468
Daniel Myrick,1,8.4468
Daniel Davila,1,8.4468
Daniel Barber,1,8.4468
Daniel Algrant,1,8.4468
Dan Zukovic,1,8.4468
Dan Trachtenberg,1,8.4468
Dan Scanlon,1,8.4468
Dan Rush,1,8.4468
Dan Reed,1,8.4468
Dan O'Bannon,1,8.4468
Dan Mazer,1,8.4468
Dan Ireland,1,8.4468
Dan Harris,1,8.4468
Dan Gilroy,1,8.4468
Dan Fogelman,1,8.4468
Dan Cutforth,1,8.4468
Dan Curtis,1,8.4468
Damon Santostefano,1,8.4468
Damir Catic,1,8.4468
Damien O'Donnell,1,8.4468
Damien Dante Wayans,1,8.4468
Damien Chazelle,1,8.4468
Damian Nieman,1,8.4468
Dagur Kári,1,8.4468
D.W. Griffith,1,8.4468
D. Stevens,1,8.4468
Cyrus Nowrasteh,1,8.4468
Cristian Mungiu,1,8.4468
Craig Zobel,1,8.4468
Craig Johnson,1,8.4468
Craig Bolotin,1,8.4468
Courtney Hunt,1,8.4468
Cory Edwards,1,8.4468
Corey Yuen,1,8.4468
Corey Grant,1,8.4468
Conor McPherson,1,8.4468
Conor McMahon,1,8.4468
Collin Schiffli,1,8.4468
Colin Minihan,1,8.4468
Colin Higgins,1,8.4468
Cody Cameron,1,8.4468
Clive Barker,1,8.4468
Clay Kaytis,1,8.4468
Claudia Sainte-Luce,1,8.4468
Claude Miller,1,8.4468
Clark Gregg,1,8.4468
Clark Baker,1,8.4468
Ciarán Foy,1,8.4468
Chuck Sheetz,1,8.4468
Chuck Bowman,1,8.4468
Chuan Lu,1,8.4468
Christopher Spencer,1,8.4468
Christopher Scott Cherot,1,8.4468
Christopher Morris,1,8.4468
Christopher M. Bessette,1,8.4468
Christopher Leitch,1,8.4468
Christopher Landon,1,8.4468
Christopher Hutson,1,8.4468
Christopher Erskin,1,8.4468
Christophe Gans,1,8.4468
Christophe Barratier,1,8.4468
Christophe Ali,1,8.4468
Christine Jeffs,1,8.4468
Christian Volckman,1,8.4468
Christian Sesma,1,8.4468
Christian E. Christiansen,1,8.4468
Christian Ditter,1,8.4468
Christian Carion,1,8.4468
Chris Shadley,1,8.4468
Chris Robinson,1,8.4468
Chris Roberts,1,8.4468
Chris Paine,1,8.4468
Chris Nahon,1,8.4468
Chris Gorak,1,8.4468
Chris Eyre,1,8.4468
Chris D'Arienzo,1,8.4468
Chris Carter,1,8.4468
Chris Butler,1,8.4468
Chris Buck,1,8.4468
Chris Atkins,1,8.4468
Chia-Liang Liu,1,8.4468
Cheryl Dunye,1,8.4468
Chatrichalerm Yukol,1,8.4468
Charlie Kaufman,1,8.4468
Charles T. Kanganis,1,8.4468
Charles Shyer,1,8.4468
Charles S. Dutton,1,8.4468
Charles Robert Carner,1,8.4468
Charles Matthau,1,8.4468
Charles Chaplin,1,8.4468
Charles Binamé,1,8.4468
Charles Adelman,1,8.4468
Chao-Bin Su,1,8.4468
Chad Kapper,1,8.4468
Chad Hartigan,1,8.4468
Cedric Nicolas-Troyan,1,8.4468
Cecil B. DeMille,1,8.4468
Cathy Malkasian,1,8.4468
Catherine Owens,1,8.4468
Catherine Jelski,1,8.4468
Catherine Gund,1,8.4468
Cassandra Nicolaou,1,8.4468
Caryn Waechter,1,8.4468
Carter Smith,1,8.4468
Caroline Link,1,8.4468
Carmen Marron,1,8.4468
Carlos Saura,1,8.4468
Carlos Carrera,1,8.4468
Carl Theodor Dreyer,1,8.4468
Carl Rinsch,1,8.4468
Cal Brunker,1,8.4468
Byron Howard,1,8.4468
Bryan Barber,1,8.4468
Bruno Barreto,1,8.4468
Bruce Paltrow,1,8.4468
Bruce McDonald,1,8.4468
Bruce Malmuth,1,8.4468
Bruce Macdonald,1,8.4468
Bruce Hunt,1,8.4468
Bruce Dellis,1,8.4468
Bruce Campbell,1,8.4468
Bronwen Hughes,1,8.4468
Britt Allcroft,1,8.4468
Brian Yuzna,1,8.4468
Brian Percival,1,8.4468
Brian Klugman,1,8.4468
Brian Henson,1,8.4468
Brian Dorton,1,8.4468
Brian Dannelly,1,8.4468
Brian Caunter,1,8.4468
Brian Baugh,1,8.4468
Brian A Miller,1,8.4468
Brenton Spencer,1,8.4468
Brendan Malloy,1,8.4468
Brenda Chapman,1,8.4468
Brandon Trost,1,8.4468
Brandon Landers,1,8.4468
Brandon Cronenberg,1,8.4468
Brandon Camp,1,8.4468
Bradley Rust Gray,1,8.4468
Bradley Parker,1,8.4468
Brad J. Silverman,1,8.4468
Brad Copeland,1,8.4468
Boris Rodriguez,1,8.4468
Bonnie Hunt,1,8.4468
Bobcat Goldthwait,1,8.4468
Bobby Roth,1,8.4468
Bob Spiers,1,8.4468
Bob Gosse,1,8.4468
Bob Giraldi,1,8.4468
Bob Dolman,1,8.4468
Bo Zenga,1,8.4468
Bo Welch,1,8.4468
Blair Hayes,1,8.4468
Blair Erickson,1,8.4468
Billy Kent,1,8.4468
Bill Plympton,1,8.4468
Bill Muir,1,8.4468
Bill Melendez,1,8.4468
Bill Duke,1,8.4468
Bill Benenson,1,8.4468
Bigas Luna,1,8.4468
Beto Gómez,1,8.4468
Benson Lee,1,8.4468
Benny Boom,1,8.4468
Benni Diez,1,8.4468
Benjamin Dickinson,1,8.4468
Benh Zeitlin,1,8.4468
Benedikt Erlingsson,1,8.4468
Benedek Fliegauf,1,8.4468
Ben Younger,1,8.4468
Ben Stassen,1,8.4468
Ben Lewin,1,8.4468
Beeban Kidron,1,8.4468
Becky Smith,1,8.4468
Barry W. Blaustein,1,8.4468
Barry Skolnick,1,8.4468
Barry Cook,1,8.4468
Barrett Esposito,1,8.4468
Babar Ahmed,1,8.4468
Babak Najafi,1,8.4468
Ayan Mukerji,1,8.4468
Avi Nesher,1,8.4468
Ava DuVernay,1,8.4468
Audrey Wells,1,8.4468
Ashish R. Mohan,1,8.4468
Ash Brannon,1,8.4468
Ash Baron-Cohen,1,8.4468
Asghar Farhadi,1,8.4468
Asger Leth,1,8.4468
Arthur Hiller,1,8.4468
Arjun Sablok,1,8.4468
Arie Posin,1,8.4468
Ari Sandel,1,8.4468
Ari Folman,1,8.4468
Anurag Basu,1,8.4468
Antony Hoffman,1,8.4468
Antonio Simoncini,1,8.4468
Antonio Banderas,1,8.4468
Antonia Bird,1,8.4468
Anthony Vallone,1,8.4468
Anthony Silverston,1,8.4468
Anthony Powell,1,8.4468
Anthony Mann,1,8.4468
Anthony Hickox,1,8.4468
Anthony Hemingway,1,8.4468
Anthony C. Ferrante,1,8.4468
Anthony Bell,1,8.4468
Annabel Jankel,1,8.4468
Anna Muylaert,1,8.4468
Anna Mastro,1,8.4468
Anna Boden,1,8.4468
Angelo Pizzo,1,8.4468
Andy Garcia,1,8.4468
Andy Cadiff,1,8.4468
Andrés Muschietti,1,8.4468
André Øvredal,1,8.4468
André Téchiné,1,8.4468
Andrucha Waddington,1,8.4468
Andrey Zvyagintsev,1,8.4468
Andrew Wilson,1,8.4468
Andrew Traucki,1,8.4468
Andrew Steggall,1,8.4468
Andrew Morahan,1,8.4468
Andrew Leman,1,8.4468
Andrew Jarecki,1,8.4468
Andrew Hyatt,1,8.4468
Andrew Haigh,1,8.4468
Andrew Douglas,1,8.4468
Andrew Currie,1,8.4468
Andrei Tarkovsky,1,8.4468
Andrea Di Stefano,1,8.4468
Andrea Arnold,1,8.4468
Amy Holden Jones,1,8.4468
Amat Escalante,1,8.4468
Amanda Gusack,1,8.4468
Allison Burnett,1,8.4468
Allen Hughes,1,8.4468
Allen Coulter,1,8.4468
Allan Dwan,1,8.4468
Allan Arkush,1,8.4468
Alister Grierson,1,8.4468
Alison Maclean,1,8.4468
Alice Wu,1,8.4468
Alexander Witt,1,8.4468
Alex van Warmerdam,1,8.4468
Alex Zamm,1,8.4468
Alex Smith,1,8.4468
Alex Rivera,1,8.4468
Alex Gibney,1,8.4468
Alex Garland,1,8.4468
Alex Craig Mann,1,8.4468
Alex Cox,1,8.4468
Alessandro Carloni,1,8.4468
Aleksey German,1,8.4468
Aleksandr Veledinskiy,1,8.4468
Alejandro Monteverde,1,8.4468
Alejandro Agresti,1,8.4468
Alec Asten,1,8.4468
Albert Brooks,1,8.4468
Alan Yuen,1,8.4468
Alan Shapiro,1,8.4468
Alan Rudolph,1,8.4468
Alan Poul,1,8.4468
Alan Metter,1,8.4468
Alan Jacobs,1,8.4468
Alan Cohn,1,8.4468
Alan Alda,1,8.4468
Alain Resnais,1,8.4468
Al Silliman Jr.,1,8.4468
Al Franklin,1,8.4468
Akiva Goldsman,1,8.4468
Aki Kaurismäki,1,8.4468
Agustín Díaz Yanes,1,8.4468
Agnieszka Wojtowicz-Vosloo,1,8.4468
Agnieszka Holland,1,8.4468
Adrienne Shelly,1,8.4468
Adam Rapp,1,8.4468
Adam Marcus,1,8.4468
Adam Jay Epstein,1,8.4468
Adam Green,1,8.4468
Adam Goldberg,1,8.4468
Adam Carolla,1,8.4468
Adam Brooks,1,8.4468
Abel Ferrara,1,8.4468
Aaron Seltzer,1,8.4468
Aaron Schneider,1,8.4468
Aaron Hann,1,8.4468
A. Raven Cruz,1,8.4468
